star,comment,target
1,别人家的电话弄到我的，对我的生活造成困扰，垃圾软件，,
5,吃了好家店，还是觉得西贝的菜最合口味，吃得舒服、有营养，真是不错??,
1,这么喜欢搞文字游戏，鲈鱼只能平时用，搞不起活动就不要搞活动。,
1,软件都出来这么久了，也不出个iPad 的版本，美团早就出了。。。每次在ipad打开，那么大屏幕就显示一小块，好别扭。。。,
1,付了款，用时条形碥基本上不能用，尤其是在永和豆浆店，同样内容用大众点评网买的就能用，不能说是我的网络问题吧。而且不只一次，几乎每次都遇到这个问题！太差！！！,
5,第一次品尝，搞活动时购买的，不知道是否符合口味,
1,蒋凡事件,
2,以前都是有6元红包的，现在变成了2-15元，每次换都是3元，搞笑呢，不给救不给啊，垃圾,
5,便宜一半 很实惠,
1,有的优惠卷，绑定半天，然后不能用～果断卸载,
5,每粒栗子都甜，无发现烂.放心食用的好零食.又可作早餐送牛奶，不上火。,
5,信息多，吃喝玩省心！,
5,应用很好用，搜索速度快，发卷也挺多,
1,买完了东西一定要升级客户端才能用 信号不好 等了好久 太垃圾了 为什么买的时候可以用旧版app 使用的时候强制更新呢,
1,问个问题半天也解决不了，垃圾,
1,别用吧，一点都不保障消费者的权益、里面的店家虚假信息太多、半欺骗手段,
1,我买的必胜客的券，中午买的，到了晚上还在卡券派送中，实在是可恶至极,
5,毕业的玻璃窗，终究还是撞碎了。我们曾一心盼望飞出笼子，却在这一天真正到来的时候，乱了阵脚。,
1,开发者自己有试过吗，刚更新完，一要点进去就闪退,
5,五星级好评哦,
5,已经很多小集美都选择了纹眉那我也不能落后\n现在已经有好多小仙女做了半永久纹眉，我属于比较晚\n的，纹完眉毛（花钱????）很开心，\n想和大家一起分享一下我的\n第一次纹眉经历。福州纹眉\n找一家靠谱的纹眉店现在的纹眉机构鱼龙混杂，一定要\n找一家设备齐全，囗碑好，技术专业的纹眉机构。\n通过上网查资料，朋友的介绍我选择了@韩美绣半永久纹眉品牌连锁店\n这家纹眉，真心不错。靠谱靠谱靠谱！！专业专业专\n业！而且还是全国连锁的。\n客户发出的纹眉照片也是非常自然，于是我心动了，预\n约到店后，看到店里小姐姐做的眉形，还挺好的，当时\n就感觉眉型设计的非常好\n，感觉我对这个效果也是超级满\n意的。\n见了老师之后，跟老师说了一下那个小姐姐纹的眉形，\n想问他是不是和我，然后老师结合了我的想法，\n又为我设计了一款眉型，感觉还挺好看的，然后就决定\n了老师的手法很娴熟，经过麻药麻醉后，不会感觉到疼\n痛。\n总之，非常满意的一次体验呦真的很不错\n福州纹眉福州永久纹眉,
5,价格便宜,
5,晒美食，是对平凡生活的热爱,
5,挖沟流马戏大,
5,人流量大的地方，味道一如既往,
5,包装保温效果很好，妹妹服务周到热心，非常满意！,
1,口碑农场什么鬼，玩不起就不要开，销核二维码压根打不开，最后就是死机，差劲??,
1,也是知道为什么没人用口碑了，手动卸载,
2,改版后，购买好的券字体变小了，特别是在支付宝里，变成了红色的小字体，不戴眼镜都看不清！更脑残的是失去了蓝牙定位功能，以前只要打开口碑APP或者支付宝卡包优惠券，离身边最近的购买过的券会按照距离排列！  现在不单单乱套，甚至不是同一天购买的同一家券，只按照购买的时间顺序排列，如果要全部消费，就要一直滑啊滑，把卡包翻个底朝天！   是那个脑残这样成功的优化退步的？这么明显的差错既然还会推出！,
5,软件十分的强大,
2,农场种植兑换好东西一直无法打开使用，不能显示支付码,
1,一直用口碑，最近一次5/31号更新完打开就闪退。,
1,垃圾一样的，老是崩掉。打都打不开,
1,偷偷改活动规则 恶心人,
5,实惠到位,
2,很多东西都没有 活动力度也不大 一般了,
1,1没有意见反馈入口\n2强烈建议饿了么不推出单独app，直接合并到口碑，要不很多人都不知道口碑存在，人们知道美团中有美团外卖，不知道口碑中有饿了么外卖，原因就是名字差别，口碑料想不到饿了么，饿了么联想不到口碑，这就是差别,
2,1，没有退款订单的选项，无法查看已经取消或者退款的订单\n2，没有账单明细,
5,夏天，这里用上海传统的做法和面条，加点青椒肉丝，花生酱，醋，香油，这凉爽入口舒适惬意，?点小笼汤包增加点蛋白质，老盛昌不断提高口感，不错的选择吃味蕾,
1,界面太复杂，没有美团界面那么简洁明了,
5,农场抽奖连续15把抽不中勺子，想摔手机??,
5,美食app还是需要增加入住店铺数量,
5,品种齐全，力度大。希望加强食品安全监管，让消费者放心购买,
1,过分了绑定完信用卡跟我说优惠券已领完,
5,PK美团。美团让很多商家心堵。又不敢脱离。,
1,口碑和商家的合作能确认好再上架吗？,
5,最赞的是随时退、过期退,
5,干净 卫生,
5,购买券到店用，优惠很多又方便,
5,口碑农场都要有限定道具才能换商品，很坑，基本上换不到的。,
5,吃喝玩乐购先上口碑查看放心,
5,洛杉矶真的很好吃,
5,23元抵30消费，超划算,
5,很实惠方便的app。,
5,很喜欢这家的味道,
1,口碑三天两头改规则也不是一天两天的事情了，现在连卡券包里的红包也可以改，本来是三天过期，被改24小时，本来觉得阿里巴巴的不至于吧，改了就改了，客服还一直不承认，看来中国人的诚信是完全没有，以后任何事都必须截图留证据，从上至下充满欺诈，防不慎防。干脆不给红包要买还是会买，一盘好棋被自己打烂，任何一个连基本诚信都没有的公司，迟早要垮,
1,升级后每次都提示服务器错误！根本用不了！太耽误事了！！！,
4,希望多多推出性价比好的餐食，还有考核好商家卫生服务。,
5,棒,
1,口碑消费券不能核销，原因是商家认为赔本，紧急下架，包括已购买的都不让核销，也没有提前告知，去到店里才说不能用，路上花费时间精力谁负责？现在商家跟口碑各种扯皮，并没有给我明确答复，之前告知退款消费券可以退回再用，退回款项，消费券已过期！,
5,活动多，提供的选择多，而且经常很实惠，很棒的app。希望以后有更多，更大的活动。,
5,就是的涨价了数量变少了,
5,巴邑炒饭很好吃??,
5,口碑是我最喜欢的平台，在这里可以找到很多物美价廉的好吃的，尤其喜欢超值抢购和限时抢购，可以很省钱的吃到大牌餐厅食品。,
5,喜欢,
5,很好,
1,希望官方开发智能化应用，比如智能线上视频点餐系统应用,
5,大家都特别喜欢,
1,想让用户使用红包，然后红包刚刚过期几分钟告诉客户恢复不了，有效期不到一天的红包是想让人用还是不想让人用！服务非常差劲????,
5,味道很不错,
5,超好吃！,
5,食是一种幸福，品味是一种情趣。美食就像人，必须真材实食料，还要去杂选优。精心烹饪才会成为美味佳肴。这样的一家粤菜餐厅 景色 味道 服务极佳 值得推荐,
5,买东西挺方便的，还不错,
1,恶心 现在农场用食材抽金钥匙是真的恶心。玩不起就直说 干嘛用这种方式去恶心人呢,
5,比美团便宜,
5,App为我的生活带来了很多实惠，成了我每天必做的功课，充实了我的生活。 就是口碑能像以前那样积分兑换流量就好了,
1,可能是最烂的阿里系app，服务器垃圾，无法载入客户数据，只有前台买买买界面，买完就无法登录使用，和淘宝支付宝不在一个等级，不要下载了，用支付宝就可以了,
5,料足味美,
5,单纯来看孙泽源的,
5,昨天晚上我去了威尼斯七街区的百果园分店，给我感觉是店面环境保持良好，让顾客感受到进店就想消费购物的感觉，服务员??态度也不错??，让人很想下次再来的感觉，我买了哈密瓜??，口感很好??。吃玩再来。,
5,很好吃 又干净 服务又好。,
5,口感不错哦，是我喜爱吃的食物,
5,第一次网上订，第一次去自提，感觉真的不错，希望自己以后可以N次去体验。,
1,客服没有任何处理能力。有一次买了东西商家不给用，让客服处理不了。有一次免单，不到一个礼拜商品没来得及换，自动退款1毛，客服处理不了。只要不碰到客服，这还算是个不错的优惠应用。但如果只是这样，我为什么不去用大众呢？不知道是公司不给权利还是客服自己的问题。,
1,好不容易種地得到的東西，到店裡領，人家說沒貨一個多月了！那你幹嘛還讓我們辛苦種地那麼久！太缺德了吧！\n\n差勁??首頁活動我比別人少一個！,
1,同店铺同样套餐一样是Vip，同事每次平台都比我优惠4元。,
5,后悔发现口碑太迟了，在这团购美食方便超值，比某团便宜，其他的衣食住行团购也便宜,
5,非常方便，而且优惠力度很大,
1,口碑骗钱，页面显示的价格不是购买商品的价格，套路你付定金，然后出来问题等时间过了就不退定金了，骗子骗子骗子软件,
5,好的很，非常方便快捷！赞??,
5,为了看可乐才下的 软件还是不错滴,
1,买完东西没有订单,
1,下载半天都下载不了，太垃圾了，还是流量下载的，都不带转,
5,活动做的不错，有时候确实是优惠力度比较大。,
5,第一次吃味道很好。,
1,点进一个内容后居然不能反回，一返回就回到主页面，,
5,nice,
5,超喜欢,
1,口碑农场说没就没了！我每天种的水果养的动物说没就没了！太坑了！气到卸载口碑。,
5,挺方便的，很喜欢,
1,这个需要吐槽下 薅羊毛那个换购价比正常价格还贵,
1,口碑上购买的商品去线下门店提货时商家根本不承认，要么就是处理的烂东西。可是口碑在说明里都没有写,
5,工作室环境美观，相机与灯具讲究，图片质感凸显！,
1,很气人，过个疫情，一个多月不准出门，现在所有订单都过期了，很多是双十二抢的券，现在强硬退款根本不为消费者考虑。\n联系客服也都是只退款让你现在重新买。口碑的平日价很贵根本没有买的欲望不如去大众点评，再见,
1,口碑农场弄个抽金勺子才能换东西，变相不让你去换东西，概率低得可怜。,
1,口碑上的商家质量太差，除了一些品牌外，地方上线的一些店家真的让人无语，然后平台处理售后也是又慢又啰嗦。我买过两次洗衣券，第一次兑换并预约时间后等了商家两天不来取衣服……后来吸取教训买了店面比较多的另一家，然后洗衣券快过期了，但其预约平台关闭了下单功能，电话和客服微信都不回，找到口碑客服，不知是否也联系不上商家，让等待两三天再说。感觉在口碑下单没有安全感，商家随时联系不上或跑路的感觉，并且平台也很难联系上商家，所以让人觉得整个平台很不靠谱！,
5,有时候，食一下也是一个非常好的选择。,
1,口碑就是有病，软件垃圾，写完了评论，返回了一下，全都没有了，以后再也不用了，垃圾,
3,都2020年了这么卡的APP真的不多见了，以前还没这么卡的，而且不想点的时候给你弹好几个出来，想点的时候又点不出来,
5,希望增加流畅度 体现不好,
5,体验好 优惠多，覆盖广,
4,一般般,
5,好,
1,每次启动都有弹窗，提示开通通知权限，真垃圾,
5,在大融城六楼点了\n服务员态度好.味道值得推荐！\n推荐招牌烧仙草！,
5,太爱口碑了，居家旅游必备,
1,评论完我就要果断卸载这个APP了 买了个面包 上超市里去找 人家都闭店两年了 难道商家都不需要审核的吗 太坑了,
1,越来越臃肿,
5,买了很多东西，特别优惠,
5,有些商家，在平台做着推广，却拒绝使用口碑上的团购价格。希望平台可以减少这样的商家，挺影响体验的，既然是店里的原价，我也没必要特意通过口碑，去你们家店里了。,
5,价廉物美方便快捷,
5,哈哈哈哈哈哈,
1,农场里面经常有任务，比如说点到某个整形美容商户的页面10秒有肥料拿，结果倒回来那个任务就消失了，黑心口碑,
5,真的很不错,
5,味道不错,
5,紫燕百味鸡政通路店是我们家的厨房，一直在这家店内购买，最爱吃的就是紫燕百味鸡和藤椒鸡，想到了就流口水，太好吃了。,
1,我的农场更新以后哪里去了？？,
5,好，热闹人挺多合适的！！……,
5,好用,
5,太坑了吧……你和商家谁不行？,
1,口碑对消费者不负责任  推脱责任  无良商家口碑也不管,
5,孩子喜欢吃，口味不错。,
5,用了口碑，每次出来消费前都想先搜一下优惠。感觉优惠是必须的了！,
5,有点贵,
5,非常好??,
5,双12从口碑上团的烧仙草，买一送一，用了一杯，另一杯有事耽搁了，到期后自动退回了，贴心的服务态度和质量，口碑值得信赖，点赞，棒棒的！,
4,在一起吗、不要让别人知道的话就不要轻易地改变着我说错了,
5,口碑是每天都会签到的App，每天会浏览它的各个内容，喜欢超值抢购，购买性价比超高的商品，玩玩口碑农场，还有很多活动，内容丰富，吃喝玩乐在口碑。,
5,好得很,
4,经常在口碑上购买吃的东西！太棒了??,
5,在舟山口碑用的人不多，我是从一个商户的角度去分析的！那天店里来了一位口碑的经理，问我老板做口碑吗！我问有什么优惠政策，比如向美团点评刚开始的商家都是免费的，一直到现在我们这些老号都是免费的，而那位经理一脸尴尬的说，只有充值才有一点优惠！对于我们商家来说，美团点评做得好好的，突然又上一个口碑，从头做没什么必要，也没有精力去管理！没有足够吸引我们的东西，一般基本会被帕斯掉！希望口碑能拿出足够的诚意，能让我们这些商家觉得付出是值得的，我们推销给客户是值得的，才会有动力,
5,价格优惠，优惠券多给一些,
5,口碑网购买的价格很实惠，继续在口碑网上购买。无论是美食还是其他都会在口碑网上购买。折扣力度大，满意。,
1,点个外卖没人送，送到已经凉透，真心不如美团，优惠也不咋滴！\n卸载...,
1,口碑平台一直很信任，但是自从发现口碑删评论，两次联系客服反应问题都没有给我反馈，真让人心寒,
5,口碑用起来，都不太用美团了，希望有更优惠更多的活动,
5,什么时候有年会员？,
5,这家店超好吃；雪花啤酒喝一瓶送一瓶：经济实惠：,
1,退钱不退优惠卷真的是要改善一下了，弄的很难受,
5,口碑??大众点评的折扣更多啊，很多时候大众点评找不到的优惠券，都能从口碑上找到，惊喜,
5,小蛋糕代表着对宝宝的爱,
4,经常来，老客户了,
5,非常喜欢口碑，一直都在用！每次想不到吃什么就会随手翻翻口碑，经常有优惠活动，特别划算,
5,方便,
5,一直对百分茶情有独钟，到曼巴特，万达，就不由自主的想起，然后满足的一杯下去忘记减肥大业，吃完了再说……力推.....,
5,大黄米汤圆，价格不贵，好吃，点赞,
1,垃圾，坑爹，会员没有优惠，却不退次数，不要脸。客服一问三不知,
5,双11五折，特别优惠～去换的时候正好赶上刚出炉，热乎乎的特别酥软香甜。,
1,差评,
5,好用,
5,口感很好。,
5,用口碑最划算,
5,真,
4,感觉一般般，还好,
1,卸载了  垃圾,
3,这是第一次认真写评价，每到一个地方去玩肯定会想吃人气高的当地菜，原来有“人气优先”这个指标，现在呢，找半天都没有，找起来太难了，对于游客来说太不友好了。希望能把“人气优先”这个指标重新上架，无论吃喝玩乐都很需要，说实在话，指标可以多一些，毕竟选择的时候可以自由选择。,
5,在新城广场B1下电梯就能看见，最重要价格物超所值，味道超级棒，奶茶配珍珠完美，一下子买了3杯,
5,我是阿里忠实粉，阿里旗下所有产品我会用余生去支持，哈哈哈哈,
